mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_line
20	19	149/4	157/4	0.125		5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	199											
20	19	299/8	315/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	200											
20	19	75/2	79/2	0.0		3/8	3/8	Chord	2/4	1	1	0	grace32	1/32	1	201											
20	19	75/2	79/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	202											
20	19	151/4	159/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	203											
20	19	303/8	319/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	204											
20	19	36	38	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	205									32		
20	19	145/4	153/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	206									32		
20	19	73/2	77/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	207									32		
20	19	147/4	155/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	208											
20	19	37	39	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	209									33		
20	19	149/4	157/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	210									33		
20	19	75/2	79/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	211									33		
20	19	151/4	159/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	212											
21	20	38	40	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	213									34		
21	20	153/4	161/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	214											
21	20	77/2	81/2	0.75		1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	215											
21	20	157/4	165/4	0.0		5/16	5/16	Chord	2/4	1	1	0	grace32	1/32	1	216											
21	20	157/4	165/4	0.0		5/16	5/16	Chord	2/4	1	1	0	grace32	1/32	1	217											
21	20	157/4	165/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	218		articStaccatoAbove									
21	20	79/2	83/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	219		articStaccatoAbove									
21	20	159/4	167/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	220		articStaccatoAbove									
21	20	38	40	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	221									35		
21	20	153/4	161/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	222									35		
21	20	77/2	81/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	223									35		
21	20	155/4	163/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	224											
21	20	39	41	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	225									36		
21	20	157/4	165/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	226											
21	20	79/2	83/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	227									37		
21	20	159/4	167/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	228											
22	21	40	42	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	229									38		
22	21	161/4	169/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	230											
22	21	81/2	85/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	231		articStaccatoAbove									
22	21	163/4	171/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	232		articStaccatoAbove									
22	21	41	43	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	233											
22	21	83/2	87/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	234											
22	21	40	42	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	235									39		
22	21	161/4	169/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	236									39		
22	21	81/2	85/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	237									39		
22	21	163/4	171/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	238											
22	21	41	43	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	239									40		
22	21	165/4	173/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	240									40		
22	21	83/2	87/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	241									40		
22	21	167/4	175/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	242											
23	22	42	44	0.0		0	0	Chord	2/4	1	1	0	grace32	1/32	1	243											
23	22	42	44	0.0		0	0	Chord	2/4	1	1	0	grace32	1/32	1	244											
23	22	42	44	0.0		0	0	Chord	2/4	1	1	0	grace32	1/32	1	245											
23	22	42	44	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	246											
23	22	43	45	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	247									41		
23	22	173/4	181/4	0.125		5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	248									41		
23	22	347/8	363/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	249									41		
23	22	87/2	91/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	250											
23	22	175/4	183/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	251		articStaccatoAbove									
23	22	42	44	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	252									42		
23	22	169/4	177/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	253									42		
23	22	85/2	89/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	254									42		
23	22	171/4	179/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	255											
23	22	43	45	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	256									43		
23	22	173/4	181/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	257									43		
23	22	87/2	91/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	258									43		
23	22	175/4	183/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	259											
24	23	44	46	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	260									44		
24	23	177/4	185/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	261									44		
24	23	89/2	93/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	262									44		
24	23	179/4	187/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	263											
24	23	45	47	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	264									45		
24	23	181/4	189/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	265											
24	23	91/2	95/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	266									46		
24	23	183/4	191/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	267											
24	23	44	46	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	268											
24	23	91/2	95/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	269											
25	24	46	48	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	270									47		
25	24	185/4	193/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	271									47		
25	24	93/2	97/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	272									47		
25	24	187/4	195/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	273									47		
